Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
241_07,0,0,NA,NA,0.34,-0.12,-0.71,-0.27,-0.99,1.37,0.24,0.39,-0.14,-0.57,0.27,-0.24
242_01,0,0,0,0,-0.61,-0.49,1.82,1.38,-1.85,0.28,2.16,0.66,2.41,-0.94,-0.86,-4.15
242_02,0,0,0,0,-0.71,0.03,1.74,1.38,-1.56,0.46,1.78,0.75,2.15,-0.97,-0.7,-4.08
242_03,0,0,0,0,0.25,1.28,-1.52,-0.4,-0.7,0.64,-0.22,0.39,-1.16,-0.93,-0.56,-2.47
242_04,0,0,0,0,1.28,1.69,-2.01,-0.78,-0.63,0.37,-0.41,0.3,-1.92,-0.87,-0.43,-1.83
242_05,0,0,0,0,1.43,0.95,-1.52,-0.53,-0.92,0.73,0.06,0.39,-1.16,-0.8,-0.29,-1.43
242_06,0,0,0,0,1.45,0.73,-1.44,-0.53,-0.85,0.91,-0.08,0.39,-1.16,-0.74,-0.13,-1.15
242_07,1,0,0,0,1.29,1.28,-1.2,-0.4,-0.56,0.91,-0.41,0.3,-0.9,-0.68,0.02,-0.94
242_08,0,0,0,0,0.57,1.76,-1.6,-0.66,-0.27,0.73,-0.78,0.21,-1.67,-0.6,0.14,-0.75
257_01,0,0,0,0,0.74,-0.68,-1.03,-2.31,-1.13,1.55,1.83,2.54,0.37,-0.87,-0.43,-0.1
257_02,0,0,0,0,-0.13,0.25,-1.36,-2.44,-0.85,1.55,1.41,2.54,-0.14,-0.85,-0.29,-0.04
257_03,0,0,0,0,-0.88,0.32,-1.28,-2.44,-0.49,1.55,0.85,2.54,-0.39,-0.86,-0.16,0.01
257_04,0,1,1,0,-0.84,0.54,-1.44,-2.57,-0.42,1.55,0.76,2.63,-0.65,-0.83,-0.01,0.08
257_05,0,0,0,0,-0.01,1.35,-1.44,-2.57,0.73,1.46,-0.69,2.36,-1.16,-0.77,0.13,0.15
257_06,0,0,0,1,0.13,1.54,-1.2,-2.31,1.58,1.37,-1.34,2.27,-1.16,-0.72,0.28,0.22
257_07,0,1,1,0,-0.49,0.8,-0.79,-2.18,1.37,1.46,-1.02,2.45,-0.65,-0.68,0.45,0.28
257_08,0,0,0,0,-0.42,1.1,-0.62,-2.18,1.51,1.46,-1.25,2.36,-0.65,-0.62,0.56,0.33
