Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
131_07,0,0,0,0,0.44,-1.23,1.58,0.62,0.3,0.28,0.15,0.66,1.39,0.37,2.49,0.21
131_08,0,0,0,0,1.49,0.06,1.25,0.49,0.3,0.46,0.01,0.66,1.13,0.33,2.59,0.24
131_09,0,0,0,0,2.37,-0.05,0.68,0.23,0.65,0.46,-0.69,0.57,0.37,0.26,2.53,0.29
136_01,0,0,0,0,1.34,0.17,-0.95,-1.04,0.37,-1.17,-0.55,-0.78,-1.67,0.89,0.5,-0.3
136_02,0,0,1,1,1.63,0.39,-0.79,-0.91,0.65,-0.63,-0.83,-0.96,-1.41,0.95,0.35,-0.4
136_03,1,1,0,0,2.17,0.28,-0.71,-0.78,0.51,-0.54,-0.64,-0.96,-1.16,0.97,0.2,-0.5
136_04,0,0,0,0,2.63,-0.23,-0.46,-0.66,0.15,-0.18,-0.18,-0.96,-0.65,0.91,0.03,-0.57
136_05,0,0,0,0,2.23,-0.53,-0.38,-0.53,0.01,-0.09,0.1,-0.96,-0.39,0.85,-0.14,-0.67
136_06,0,0,0,0,1.6,-1.01,-0.38,-0.53,-0.06,0.01,0.24,-0.96,-0.14,0.81,-0.31,-0.76
136_07,0,0,0,0,1.07,-0.34,-0.62,-0.66,-0.06,-0.54,0.2,-0.96,-0.65,0.77,-0.47,-0.88
136_08,0,0,0,0,0.73,-0.2,-0.71,-0.66,0.08,-0.63,0.01,-0.96,-0.9,0.73,-0.63,-0.98
140_01,0,0,0,0,1.32,-0.56,-1.69,-1.42,-1.13,1.37,0.99,1.11,-0.39,-1.04,0.19,-0.59
140_02,0,0,0,0,0.79,-0.64,-1.69,-1.29,-1.2,1.46,1.08,1.2,-0.39,-1.11,0.15,-0.73
140_03,0,0,0,0,0.72,-0.27,-1.52,-1.04,-1.49,1.46,1.5,1.29,0.12,-1.17,0.11,-0.84
140_04,0,0,0,0,1.12,0.28,-1.52,-0.91,-1.7,1.46,1.78,1.46,0.12,-1.24,0.07,-0.99
140_06,0,0,0,0,0.97,-0.75,-1.36,0.87,-2.27,1,1.97,1.11,0.63,-1.49,-0.93,-1.75
140_07,0,1,1,1,0.41,-0.05,-1.28,0.74,-2.13,1,1.88,1.11,0.63,-1.44,-0.78,-1.56
140_08,1,0,0,0,-0.79,-0.08,-0.87,1,-2.06,1.18,1.83,1.11,0.88,-1.37,-0.64,-1.33
140_09,0,0,0,0,-0.96,-0.38,-0.13,1.25,-1.99,1.09,1.88,1.2,1.39,-1.31,-0.49,-1.18
149_06,0,0,0,NA,-1.06,1.17,1.09,-1.17,1.3,0.91,-1.06,-0.24,0.37,0.36,1.04,0.32
150_01,0,0,0,0,-1.05,-0.56,1.33,0.11,0.44,-0.18,-0.22,-0.78,0.63,1.12,1.17,-0.55
150_02,0,0,0,0,-0.96,-1.16,1.58,0.23,0.3,0.37,0.06,-0.78,1.39,1.18,1.17,-0.69
150_03,0,0,0,0,-0.96,-0.79,1.74,0.23,0.44,0.28,-0.13,-0.87,1.39,1.24,1.17,-0.84
150_04,0,0,0,0,-1.03,-1.01,1.58,0.23,0.37,0.37,-0.04,-0.87,1.13,1.31,1.25,-1.03
150_05,0,0,0,0,-1.02,-1.34,1.58,0.23,0.23,0.46,0.2,-0.87,1.39,1.36,1.36,-1.22
150_06,0,0,0,0,-0.99,-1.34,1.5,0.11,0.15,0.19,0.29,-0.87,1.39,1.4,1.46,-1.47
150_08,0,0,0,0,-1.11,-1.16,1.82,0.36,0.08,-0.63,0.62,-0.6,1.39,1.05,1.15,-0.44
