Detection Matrix,SO1,SO2,SO3,SO4,SO5,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,"Substrate
Det Cov",SO1,SO2,SO3,SO4,SO5,,"Effort
Det Cov",SO1,SO2,SO3,SO4,SO5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,0.050852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,0.808556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0.059046222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0.363678222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,0.822361778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,0.168123556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,0.81778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,0.952875556
