Detection Matrix,SO1,SO2,SO3,SO4,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,Detection Covariate (Substrate),SO1,SO2,SO3,SO4
10_08,1,1,0,0,,10_08,9.9,30.3,8.1,0,3.55,0.48,0.62,,10_08,2,3,2,2
11_04,1,1,1,1,,11_04,2.6,15.8,0.1,0,1.63,0.66,0.39,,11_04,2,3,2,2
11_05,1,1,0,1,,11_05,1.2,16.6,0.1,0,23.99,0.30,0.44,,11_05,2,3,3,2
11_06,1,0,0,1,,11_06,1.3,17.6,0.2,0,63.08,0.47,0.46,,11_06,3,3,3,3
21_01,0,0,0,0,,21_01,3.9,2.3,0.8,0.924664785,20.96,0.72,0.61,,21_01,2,1,1,1
21_02,0,0,0,0,,21_02,4.2,3.0,2.6,1,12.30,0.87,0.66,,21_02,1,1,1,1
21_03,0,0,.,.,,21_03,5.2,4.3,3.9,1,8.27,0.87,0.66,,21_03,1,2,.,.
21_04,0,0,0,0,,21_04,2.2,1.1,0.8,0.862020033,12.97,0.77,0.59,,21_04,2,3,3,2
21_05,0,0,0,1,,21_05,3.4,3.0,2.2,1,3.57,0.48,0.67,,21_05,3,3,3,3
21_06,0,0,0,0,,21_06,4.9,4.7,3.1,1,4.09,0.56,0.64,,21_06,3,3,3,2
21_07,0,0,0,0,,21_07,5.9,6.2,3.4,1,13.53,0.47,0.64,,21_07,3,3,2,2
21_08,0,0,0,0,,21_08,7.0,7.7,3.4,1,15.01,0.72,0.63,,21_08,2,3,2,3
22_01,0,0,0,1,,22_01,8.2,9.9,3.7,1,5.78,0.93,0.62,,22_01,4,4,4,4
22_02,0,0,0,0,,22_02,8.4,11.4,4.8,1,6.53,0.69,0.63,,22_02,3,3,4,4
22_03,0,0,1,0,,22_03,8.9,13.2,6.0,1,12.47,0.68,0.64,,22_03,3,3,4,4
22_04,1,0,0,0,,22_04,9.1,15.0,6.4,1,12.41,0.74,0.64,,22_04,4,3,4,3
