Detection Matrix,SO1,SO2,SO3,SO4,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,Detection Covariate (Substrate),SO1,SO2,SO3,SO4
58_07,0,0,0,0,,58_07,26.3,33.3,25.4,1,9.61,0.84,0.59,,58_07,2,2,1,1
58_08,0,0,0,0,,58_08,27.7,33.1,26.8,1,14.35,0.74,0.60,,58_08,2,1,2,2
58_09,0,0,0,0,,58_09,28.8,32.5,27.7,1,19.40,0.85,0.57,,58_09,2,1,2,1
59_01,0,0,0,0,,59_01,44.5,16.1,43.6,1,31.28,0.52,0.63,,59_01,2,2,2,2
59_02,0,0,0,0,,59_02,43.0,17.5,42.2,1,33.91,0.59,0.63,,59_02,3,2,2,3
59_03,0,0,0,0,,59_03,41.8,18.8,41.0,1,27.70,0.45,0.63,,59_03,2,2,3,3
59_04,0,0,0,0,,59_04,40.6,20.2,39.3,1,19.87,0.34,0.64,,59_04,3,3,2,3
59_05,0,0,0,0,,59_05,39.5,21.6,37.5,1,17.52,0.66,0.60,,59_05,2,2,3,3
59_06,0,0,0,0,,59_06,38.0,23.0,35.6,1,14.73,0.67,0.60,,59_06,3,3,3,3
59_07,0,1,0,0,,59_07,36.5,24.1,34.1,1,8.92,0.83,0.59,,59_07,3,3,3,3
59_08,0,0,0,0,,59_08,34.9,25.1,32.5,1,6.19,0.75,0.58,,59_08,3,3,3,3
59_09,0,0,0,0,,59_09,33.1,26.8,30.7,1,11.51,0.65,0.60,,59_09,3,2,2,2
60_01,0,0,0,0,,60_01,55.1,3.4,53.3,1,33.54,0.68,0.56,,60_01,1,1,1,1
60_02,0,0,0,0,,60_02,54.1,5.3,52.3,1,29.10,0.51,0.57,,60_02,1,1,1,1
60_03,0,0,0,0,,60_03,53.0,7.1,51.2,1,27.94,0.29,0.61,,60_03,1,1,1,1
60_04,0,0,0,0,,60_04,53.0,8.7,51.2,1,18.95,0.00,0.66,,60_04,1,1,1,1
60_05,0,0,.,.,,60_05,53.0,10.0,51.1,1,16.36,0.00,0.66,,60_05,1,1,.,.
60_06,0,0,0,0,,60_06,44.8,12.9,43.0,1,29.81,0.73,0.59,,60_06,4,2,2,2
60_07,0,0,0,0,,60_07,43.5,14.4,41.7,1,34.36,0.59,0.63,,60_07,4,2,4,2
60_08,0,0,0,0,,60_08,42.1,16.0,40.4,1,43.44,0.20,0.68,,60_08,2,2,4,2
60_09,0,0,.,.,,60_09,41.1,17.3,39.3,1,38.72,0.28,0.66,,60_09,4,2,.,.
61_01,0,0,0,0,,61_01,64.8,15.3,62.7,1,29.31,0.20,0.66,,61_01,2,2,4,2
61_02,0,0,0,0,,61_02,64.7,16.8,62.6,1,27.53,0.06,0.68,,61_02,2,2,1,1
61_03,0,0,0,0,,61_03,64.6,18.4,62.2,1,28.15,0.27,0.65,,61_03,2,2,2,2
61_04,0,0,0,0,,61_04,64.6,20.0,60.8,0.927437446,29.71,0.29,0.65,,61_04,2,2,2,1
61_05,0,0,.,.,,61_05,64.4,21.2,59.7,1,26.20,0.36,0.64,,61_05,2,2,.,.
61_06,0,0,0,0,,61_06,53.4,11.2,51.5,1,16.75,0.01,0.66,,61_06,1,1,1,1
61_07,0,0,0,0,,61_07,53.3,13.1,51.3,1,26.48,0.01,0.67,,61_07,1,1,1,1
61_08,0,0,0,0,,61_08,53.4,14.9,51.4,1,27.57,0.07,0.65,,61_08,1,1,1,2
61_09,0,0,0,0,,61_09,53.1,16.7,50.9,1,24.55,0.01,0.66,,61_09,2,1,1,1
61_10,0,0,0,0,,61_10,52.0,18.3,49.7,1,28.60,0.07,0.66,,61_10,1,1,1,1
62_01,0,0,0,0,,62_01,63.0,22.6,58.4,1,19.94,0.28,0.64,,62_01,1,1,2,2
62_02,0,0,0,0,,62_02,61.2,24.1,57.0,0.626665528,11.84,0.30,0.63,,62_02,1,1,2,2
62_03,0,0,0,0,,62_03,59.7,25.5,55.9,0.153382163,7.71,0.16,0.63,,62_03,3,2,3,2
62_04,0,0,0,.,,62_04,58.3,26.8,55.1,0.187923012,4.37,0.13,0.63,,62_04,2,2,3,.
62_05,0,0,0,0,,62_05,57.2,27.9,54.0,0.009469203,5.95,0.04,0.63,,62_05,2,2,2,1
62_06,0,0,0,0,,62_06,55.2,29.8,52.4,0,19.51,0.03,0.65,,62_06,2,1,1,1
62_07,0,0,0,0,,62_07,53.8,31.4,50.6,0,23.57,0.01,0.66,,62_07,2,1,2,1
62_08,0,0,0,.,,62_08,52.2,33.1,49.0,0,30.05,0.01,0.67,,62_08,1,2,1,.
62_09,0,0,0,0,,62_09,61.2,26.0,55.4,0,34.49,0.29,0.65,,62_09,3,2,1,3
62_10,0,0,0,0,,62_10,59.4,27.9,53.6,0,32.36,0.18,0.65,,62_10,2,2,2,2
62_11,0,0,0,0,,62_11,57.8,29.5,51.9,0,26.10,0.15,0.65,,62_11,1,3,2,2
62_12,0,0,0,.,,62_12,56.8,30.0,51.1,0,11.36,0.29,0.61,,62_12,2,1,2,.
63_01,0,0,0,0,,63_01,48.9,37.2,43.5,0,32.09,0.35,0.64,,63_01,2,2,3,2
63_02,0,0,0,0,,63_02,47.8,38.3,42.2,0,34.12,0.19,0.66,,63_02,3,3,3,3
63_03,0,0,0,1,,63_03,46.4,38.0,40.8,0,32.91,0.13,0.66,,63_03,2,2,4,3
63_04,0,1,0,0,,63_04,46.1,36.5,40.3,0,33.79,0.23,0.64,,63_04,2,3,4,3
63_05,0,1,1,1,,63_05,46.3,34.8,40.2,0,33.96,0.33,0.63,,63_05,4,2,2,3
63_06,1,0,0,1,,63_06,46.3,33.1,40.2,0,31.53,0.25,0.64,,63_06,2,2,2,2
63_07,0,0,0,0,,63_07,45.7,31.6,39.4,0,28.99,0.28,0.63,,63_07,2,2,2,1
63_08,0,0,0,0,,63_08,44.7,30.1,38.3,0,32.67,0.35,0.63,,63_08,2,1,2,1
63_09,0,0,1,1,,63_09,43.4,29.4,36.8,0,31.29,0.15,0.65,,63_09,2,2,3,3
64_01,1,1,1,1,,64_01,38.8,29.9,32.1,0,5.38,0.11,0.61,,64_01,2,3,3,4
64_02,1,1,1,1,,64_02,36.9,30.3,30.3,0,4.76,0.33,0.59,,64_02,4,2,3,2
64_03,1,1,1,1,,64_03,35.2,31.0,28.6,0,5.46,0.31,0.60,,64_03,2,2,3,4
64_04,1,1,1,1,,64_04,33.6,31.3,27.0,0,8.09,0.23,0.61,,64_04,2,2,2,2
64_05,1,1,1,0,,64_05,31.9,31.7,25.3,0,4.36,0.35,0.60,,64_05,3,2,4,2
64_06,1,1,0,0,,64_06,30.5,31.9,24.0,0,0.44,0.53,0.59,,64_06,3,3,3,4
64_07,0,0,1,0,,64_07,28.9,32.5,22.5,0,0.43,0.65,0.58,,64_07,2,4,2,2
64_08,0,1,.,.,,64_08,27.8,33.0,21.4,0,2.03,0.61,0.59,,64_08,2,2,.,.
66_01,1,0,0,0,,66_01,3.3,35.5,0.9,0,66.55,0.30,0.72,,66_01,2,3,2,2
66_02,0,0,1,1,,66_02,4.4,36.9,2.4,0,9.48,0.29,0.64,,66_02,3,3,2,3
66_03,1,0,0,0,,66_03,5.8,38.4,4.1,0,4.04,0.29,0.63,,66_03,3,3,3,3
66_04,0,0,0,0,,66_04,7.1,39.4,5.6,0,4.08,0.55,0.60,,66_04,2,2,2,3
66_05,0,0,1,0,,66_05,8.4,40.1,7.1,0,7.04,0.38,0.62,,66_05,2,3,3,2
66_06,0,0,.,.,,66_06,9.6,40.8,8.3,0,4.40,0.55,0.60,,66_06,2,3,.,.
74_01,0,0,0,0,,74_01,10.0,9.3,0.8,0.876154955,2.83,0.61,0.53,,74_01,3,2,2,2
74_03,0,0,0,.,,74_03,11.1,10.6,0.5,0.833824148,4.04,0.20,0.54,,74_03,2,3,3,.
74_04,0,0,0,0,,74_04,12.1,11.4,3.1,1,18.20,0.64,0.61,,74_04,2,2,2,2
74_05,0,0,0,0,,74_05,14.0,13.2,5.0,1,16.57,0.59,0.62,,74_05,2,2,2,3
74_06,0,0,0,0,,74_06,15.9,15.1,6.7,1,13.83,0.70,0.60,,74_06,2,2,2,2
74_07,0,0,0,0,,74_07,17.6,16.9,8.4,1,14.77,0.92,0.57,,74_07,2,2,3,2
74_08,0,0,0,0,,74_08,19.5,18.8,9.9,1,13.59,0.89,0.58,,74_08,2,2,2,2
74_09,0,0,.,.,,74_09,21.0,20.2,11.0,1,28.75,0.76,0.60,,74_09,2,2,.,.
75_01,0,0,0,0,,75_01,22.6,21.9,12.0,1,35.11,0.50,0.64,,75_01,2,2,3,2
75_02,0,0,0,0,,75_02,24.5,23.8,13.4,1,13.76,0.83,0.60,,75_02,2,2,2,2
75_03,0,0,0,0,,75_03,25.4,25.6,14.9,1,27.06,0.86,0.64,,75_03,2,2,2,2
75_04,0,0,0,0,,75_04,25.6,27.6,16.2,1,30.39,0.63,0.64,,75_04,2,2,2,2
75_06,0,0,0,0,,75_06,25.5,29.6,17.4,1,30.60,0.79,0.60,,75_06,2,2,2,2
75_07,0,0,0,0,,75_07,25.9,31.6,18.8,1,28.42,0.70,0.63,,75_07,2,2,2,2
75_08,0,0,0,0,,75_08,26.3,33.5,20.3,1,19.16,0.73,0.63,,75_08,2,2,2,2
75_09,0,0,0,.,,75_09,27.1,35.2,21.7,1,31.44,0.79,0.64,,75_09,2,2,3,.
76_01,0,0,0,0,,76_01,28.0,37.3,23.5,1,56.85,0.70,0.63,,76_01,2,2,2,2
76_02,0,0,0,0,,76_02,28.9,37.6,25.2,1,33.34,0.54,0.63,,76_02,2,2,2,2
76_03,0,0,0,0,,76_03,30.0,35.7,26.9,1,15.14,0.77,0.61,,76_03,2,2,5,5
76_04,0,0,0,0,,76_04,32.1,31.5,30.2,1,33.76,0.56,0.64,,76_04,4,2,2,2
76_05,0,0,0,0,,76_05,30.7,32.0,29.1,1,21.64,0.71,0.61,,76_05,4,2,5,5
76_06,0,0,0,.,,76_06,29.7,32.4,28.3,1,16.61,0.60,0.61,,76_06,5,5,5,.
76_07,0,0,0,0,,76_07,37.4,26.5,35.7,1,14.70,0.78,0.59,,76_07,3,2,2,2
76_08,0,0,0,1,,76_08,35.7,28.3,33.9,1,3.48,0.93,0.60,,76_08,3,2,2,2
76_09,0,0,0,0,,76_09,33.9,30.1,32.0,1,22.40,0.77,0.61,,76_09,2,2,2,3
76_10,0,0,0,0,,76_10,32.5,31.9,30.4,1,36.14,0.69,0.61,,76_10,3,2,2,2
77_01,0,0,0,0,,77_01,53.5,14.5,51.9,1,29.67,0.29,0.65,,77_01,2,2,2,2
77_02,0,0,0,0,,77_02,52.2,15.9,50.4,1,42.88,0.14,0.67,,77_02,3,2,2,2
77_03,0,0,0,0,,77_03,50.3,17.1,48.5,1,20.08,0.31,0.62,,77_03,2,2,2,2
77_04,0,0,0,0,,77_04,48.6,18.7,46.6,1,14.60,0.29,0.60,,77_04,2,2,2,2
77_05,0,0,0,0,,77_05,47.1,20.2,44.9,1,19.80,0.34,0.62,,77_05,2,2,2,2
77_06,0,0,0,0,,77_06,45.2,21.4,43.1,1,14.52,0.30,0.63,,77_06,2,2,2,2
77_07,0,0,0,0,,77_07,43.4,22.3,41.4,1,14.96,0.16,0.65,,77_07,2,2,2,2
77_08,0,0,0,0,,77_08,41.6,23.1,39.8,1,14.99,0.38,0.62,,77_08,2,2,2,2
77_09,0,0,0,0,,77_09,39.8,24.3,38.1,1,18.35,0.52,0.60,,77_09,2,2,2,2
78_01,0,0,0,.,,78_01,57.3,0.5,55.3,1,43.77,0.41,0.61,,78_01,2,3,3,.
78_02,0,0,0,0,,78_02,59.6,2.4,57.6,1,48.28,0.79,0.58,,78_02,2,3,3,3
78_03,0,0,0,0,,78_03,61.3,4.1,59.4,1,23.67,0.52,0.58,,78_03,3,2,2,2
78_04,0,0,0,0,,78_04,63.1,5.9,61.1,1,3.39,0.19,0.61,,78_04,3,2,3,3
78_05,0,0,0,0,,78_05,57.3,0.9,55.3,1,29.30,0.68,0.56,,78_05,2,2,3,2
78_06,0,0,0,0,,78_06,57.3,2.8,55.2,1,2.82,0.78,0.52,,78_06,2,2,2,2
78_07,0,0,0,0,,78_07,57.4,4.7,55.4,1,1.53,0.63,0.53,,78_07,2,2,2,2
78_08,0,0,0,0,,78_08,57.0,6.5,55.9,1,4.47,0.58,0.54,,78_08,3,3,2,2
78_09,0,0,0,0,,78_09,56.6,8.2,55.6,1,16.85,0.65,0.54,,78_09,2,2,2,2
78_10,0,0,0,0,,78_10,55.3,9.8,54.2,1,15.97,0.60,0.58,,78_10,3,3,2,2
78_11,0,0,0,0,,78_11,53.6,11.1,52.4,1,5.30,0.47,0.59,,78_11,2,2,2,2
78_12,0,0,0,0,,78_12,53.4,12.4,52.1,1,1.85,0.27,0.61,,78_12,2,2,2,2
78_13,0,0,.,.,,78_13,54.1,13.1,52.7,1,8.65,0.21,0.64,,78_13,2,2,.,.
79_01,0,0,0,0,,79_01,65.1,7.9,63.1,1,15.48,0.24,0.60,,79_01,2,2,2,2
79_02,0,0,0,0,,79_02,66.9,9.7,64.9,1,32.60,0.05,0.65,,79_02,3,2,3,2
79_03,0,0,0,0,,79_03,68.6,11.4,66.7,1,45.61,0.14,0.66,,79_03,3,2,2,2
79_04,0,0,0,0,,79_04,70.6,13.4,68.6,1,66.88,0.21,0.68,,79_04,2,3,2,2
79_05,0,0,0,0,,79_05,72.3,15.1,70.4,1,68.35,0.23,0.68,,79_05,2,2,2,2
79_06,0,0,0,.,,79_06,73.6,16.4,71.7,1,60.72,0.22,0.66,,79_06,2,2,3,.
79_07,0,0,0,0,,79_07,65.4,8.4,63.5,1,15.91,0.23,0.60,,79_07,2,2,2,3
79_08,0,0,0,0,,79_08,65.2,8.7,63.3,1,19.94,0.26,0.61,,79_08,3,2,3,2
79_09,0,0,0,0,,79_09,65.1,9.4,63.2,1,20.08,0.17,0.64,,79_09,2,3,2,2
79_10,0,0,0,0,,79_10,65.8,10.8,64.0,1,24.32,0.09,0.66,,79_10,2,3,3,2
79_11,0,0,0,0,,79_11,66.2,12.1,64.4,1,19.80,0.14,0.66,,79_11,2,3,2,2
79_12,0,0,0,0,,79_12,65.9,13.0,64.0,1,15.48,0.39,0.62,,79_12,3,3,3,2
79_13,0,0,0,0,,79_13,65.3,13.9,63.4,1,17.98,0.53,0.62,,79_13,2,2,2,3
80_01,0,0,0,0,,80_01,66.9,20.4,61.2,1,6.03,0.33,0.62,,80_01,1,1,1,2
80_02,0,0,.,.,,80_02,66.4,20.5,60.7,1,6.60,0.48,0.59,,80_02,1,1,.,.
80_03,0,0,0,0,,80_03,67.1,20.9,61.2,0.930728396,7.01,0.29,0.63,,80_03,3,3,3,2
80_04,0,0,0,0,,80_04,66.1,21.8,60.2,0.211220542,7.70,0.62,0.59,,80_04,2,1,2,1
80_05,0,0,0,0,,80_05,64.4,23.4,58.4,0,14.62,0.18,0.63,,80_05,1,1,2,1
80_06,0,0,0,.,,80_06,62.8,24.5,57.0,0,31.44,0.18,0.65,,80_06,2,2,2,.
80_07,0,0,0,0,,80_07,71.4,25.7,64.9,1,31.40,0.31,0.64,,80_07,3,3,3,3
80_08,0,0,0,0,,80_08,71.7,24.1,65.2,1,17.56,0.22,0.64,,80_08,3,3,2,2
80_09,0,0,0,0,,80_09,71.5,22.9,65.1,0.982350445,17.58,0.50,0.62,,80_09,3,2,3,3
80_10,0,0,0,0,,80_10,71.2,21.9,65.0,0.992831232,23.71,0.26,0.65,,80_10,3,3,3,3
80_11,0,0,.,.,,80_11,70.4,21.7,64.1,1,15.69,0.07,0.66,,80_11,3,3,.,.
83_01,0,0,0,0,,83_01,27.3,22.9,25.7,1,90.21,0.04,0.75,,83_01,2,3,3,2
83_02,0,0,0,0,,83_02,25.4,24.8,24.0,1,82.37,0.30,0.73,,83_02,3,2,2,2
83_03,0,0,0,0,,83_03,24.5,26.0,23.2,0.999656328,98.64,0.46,0.73,,83_03,2,2,2,2
83_04,0,0,0,.,,83_04,24.4,26.5,23.2,0.683039852,135.10,0.13,0.78,,83_04,5,5,5,.
83_05,0,0,0,.,,83_05,23.7,26.3,22.3,1,15.85,0.39,0.64,,83_05,1,1,1,.
83_06,0,0,0,0,,83_06,30.0,20.5,28.6,1,107.95,0.05,0.75,,83_06,2,1,1,1
83_07,0,0,0,0,,83_07,28.3,22.1,26.9,1,115.79,0.05,0.77,,83_07,1,1,1,1
83_08,0,0,0,0,,83_08,26.5,24.0,25.2,1,126.53,0.09,0.78,,83_08,1,1,1,1
83_09,0,0,.,.,,83_09,25.6,25.3,24.3,1,142.93,0.10,0.78,,83_09,1,2,.,.
84_01,0,0,.,.,,84_01,22.5,28.1,21.3,0,110.48,0.08,0.75,,84_01,1,1,.,.
84_02,0,1,1,0,,84_02,21.2,29.1,20.0,0,113.29,0.12,0.75,,84_02,1,1,1,1
84_03,1,1,0,0,,84_03,20.0,30.0,18.6,0,107.12,0.12,0.75,,84_03,1,1,1,1
84_04,1,0,1,0,,84_04,18.7,31.0,17.3,0,106.73,0.11,0.75,,84_04,1,1,1,1
84_05,0,1,1,1,,84_05,17.1,32.6,15.6,0,108.20,0.10,0.76,,84_05,1,1,1,1
84_06,0,0,1,1,,84_06,15.4,34.2,13.8,0,105.90,0.27,0.75,,84_06,1,1,1,1
84_07,1,1,1,1,,84_07,14.0,35.5,12.3,0,112.75,0.34,0.75,,84_07,1,1,1,1
84_08,1,1,1,1,,84_08,12.6,36.9,10.8,0,111.61,0.15,0.76,,84_08,1,1,1,1
84_09,0,0,.,.,,84_09,11.5,38.0,9.6,0,105.30,0.24,0.75,,84_09,1,1,.,.
84_10,0,0,0,0,,84_10,13.1,36.6,11.7,0,84.61,0.13,0.74,,84_10,1,1,1,1
84_11,0,0,0,1,,84_11,11.4,38.3,9.9,0,49.81,0.14,0.70,,84_11,1,1,1,1
84_12,1,1,0,0,,84_12,9.7,39.8,8.2,0,17.87,0.06,0.66,,84_12,1,1,1,1
85_01,0,0,0,0,,85_01,7.2,42.3,5.8,0,1.85,0.22,0.62,,85_01,1,1,1,1
85_02,0,0,0,1,,85_02,5.3,44.2,4.2,0,5.76,0.12,0.65,,85_02,1,1,1,1
85_03,1,1,1,0,,85_03,3.3,46.1,2.9,0,5.41,0.22,0.65,,85_03,1,1,1,1
85_04,1,1,1,1,,85_04,1.5,47.9,1.2,0,32.61,0.35,0.69,,85_04,1,1,1,1
91_01,0,0,0,0,,91_01,3.1,3.2,0.2,0.456357622,37.97,0.57,0.31,,91_01,1,1,2,1
91_02,0,0,0,0,,91_02,4.5,4.4,0.7,0.991846483,26.85,0.75,0.60,,91_02,2,1,2,2
91_03,0,0,0,0,,91_03,6.2,6.0,1.1,1,29.00,0.38,0.65,,91_03,2,2,1,1
91_04,0,0,0,0,,91_04,7.8,7.7,0.9,1,25.46,0.44,0.63,,91_04,2,1,1,2
91_05,0,0,0,0,,91_05,9.5,9.4,1.4,1,18.09,0.57,0.61,,91_05,2,1,2,1
91_06,0,0,0,0,,91_06,10.4,11.1,1.9,1,9.15,0.41,0.61,,91_06,2,2,2,1
92_01,0,0,0,0,,92_01,10.4,12.9,3.1,1,7.75,0.66,0.60,,92_01,1,2,1,2
92_02,0,0,0,0,,92_02,10.5,14.7,4.1,1,4.93,0.56,0.63,,92_02,1,1,1,2
94_01,0,0,0,0,,94_01,41.7,31.8,36.3,1,29.99,0.76,0.59,,94_01,2,2,2,2
94_02,0,0,0,0,,94_02,43.1,32.3,37.4,1,14.19,0.47,0.59,,94_02,3,2,2,2
94_03,0,0,0,0,,94_03,44.7,33.0,38.5,1,22.68,0.47,0.60,,94_03,2,2,2,2
94_04,0,0,0,0,,94_04,46.4,33.7,39.8,1,21.88,0.44,0.61,,94_04,2,2,2,2
94_05,0,0,0,0,,94_05,48.2,34.5,41.2,1,7.07,0.45,0.59,,94_05,2,2,2,2
94_06,0,0,0,0,,94_06,49.8,35.5,42.4,1,3.94,0.38,0.61,,94_06,2,2,2,2
94_07,0,0,0,0,,94_07,50.7,36.8,43.5,1,1.26,0.49,0.57,,94_07,2,2,2,2
94_08,0,0,.,.,,94_08,50.9,37.9,43.8,1,0.23,0.05,0.62,,94_08,2,2,.,.
96_01,0,0,0,0,,96_01,73.9,26.9,69.9,1,4.49,0.04,0.65,,96_01,3,3,2,2
96_02,0,0,0,0,,96_02,72.5,25.3,68.7,1,24.52,0.07,0.67,,96_02,2,2,2,3
96_03,0,0,0,0,,96_03,72.6,24.1,69.1,1,38.12,0.10,0.68,,96_03,2,3,3,3
96_04,0,0,0,.,,96_04,73.7,24.0,70.4,1,32.44,0.14,0.66,,96_04,2,3,3,.
97_01,0,0,0,0,,97_01,75.1,18.0,73.2,1,58.08,0.27,0.65,,97_01,2,3,3,2
97_02,0,0,0,0,,97_02,77.0,19.8,74.3,1,58.83,0.13,0.67,,97_02,2,2,2,3
97_03,0,0,0,0,,97_03,78.7,21.6,73.9,1,66.63,0.18,0.68,,97_03,2,2,3,2
97_04,0,0,0,0,,97_04,79.6,23.5,73.1,1,63.77,0.25,0.69,,97_04,2,2,2,2
97_05,0,0,0,0,,97_05,78.7,25.3,72.1,1,52.52,0.06,0.69,,97_05,2,2,2,2
97_07,0,0,0,0,,97_07,75.0,24.0,72.0,1,13.10,0.12,0.64,,97_07,2,3,3,2
97_08,0,0,0,0,,97_08,76.3,23.9,73.5,1,7.99,0.25,0.62,,97_08,2,2,2,2
97_09,0,0,0,0,,97_09,77.7,24.2,75.1,1,13.53,0.08,0.65,,97_09,2,2,2,2
97_10,0,0,0,0,,97_10,83.1,32.7,76.8,1,1.74,0.08,0.63,,97_10,2,3,3,3
97_11,0,0,0,0,,97_11,82.4,31.0,76.0,1,9.50,0.02,0.64,,97_11,2,3,3,2
97_12,0,0,.,.,,97_12,82.4,29.6,75.8,1,10.33,0.00,0.64,,97_12,3,3,.,.
98_01,0,0,0,0,,98_01,76.8,27.7,70.2,1,13.31,0.10,0.64,,98_01,1,1,1,1
98_02,0,0,0,0,,98_02,76.1,29.6,69.5,1,8.90,0.21,0.63,,98_02,1,1,1,1
98_03,0,0,0,0,,98_03,75.7,31.5,69.2,1,13.81,0.12,0.64,,98_03,1,1,1,1
98_04,0,0,0,0,,98_04,75.3,31.3,68.9,1,43.81,0.00,0.69,,98_04,1,1,1,1
98_05,0,0,0,0,,98_05,74.3,29.5,68.2,1,63.53,0.04,0.71,,98_05,1,1,1,2
98_06,0,0,0,0,,98_06,73.0,27.6,67.2,1,62.47,0.02,0.71,,98_06,3,1,1,1
98_07,0,0,0,0,,98_07,72.0,25.8,66.3,1,76.47,0.04,0.72,,98_07,1,1,1,1
98_08,0,0,0,0,,98_08,70.5,24.1,65.0,1,62.75,0.14,0.70,,98_08,1,2,1,1
98_09,0,0,0,0,,98_09,68.6,22.5,63.2,1,59.27,0.21,0.69,,98_09,1,2,1,1
99_01,0,0,0,0,,99_01,66.8,20.8,61.5,1,59.24,0.11,0.71,,99_01,1,2,1,1
99_02,0,0,0,0,,99_02,65.3,19.0,60.3,1,58.73,0.07,0.70,,99_02,1,2,1,1
99_03,0,0,0,0,,99_03,64.2,17.2,59.4,1,66.06,0.03,0.71,,99_03,1,2,1,2
99_04,0,0,0,0,,99_04,56.4,7.3,54.6,1,3.03,0.03,0.64,,99_04,2,2,2,1
99_05,0,0,0,0,,99_05,57.7,8.9,55.7,1,5.75,0.05,0.64,,99_05,2,1,1,1
99_06,0,0,0,0,,99_06,59.4,10.3,57.2,1,48.51,0.11,0.69,,99_06,1,1,1,1
99_07,0,0,0,0,,99_07,60.6,11.7,57.6,1,58.73,0.14,0.70,,99_07,2,2,2,2
99_08,0,0,0,0,,99_08,62.1,13.5,58.2,1,63.29,0.09,0.71,,99_08,2,2,2,2
99_09,0,0,0,0,,99_09,63.5,15.3,59.0,1,68.40,0.07,0.72,,99_09,2,2,2,2
100_01,0,0,0,0,,100_01,49.2,0.8,47.0,1,75.04,0.27,0.70,,100_01,1,1,1,1
100_02,0,0,0,0,,100_02,47.7,2.5,45.5,1,9.30,0.15,0.64,,100_02,2,2,1,2
100_03,0,0,0,0,,100_03,46.0,4.3,43.7,1,0.39,0.05,0.64,,100_03,1,1,1,2
100_04,0,0,0,0,,100_04,44.3,5.8,42.0,1,0.34,0.10,0.63,,100_04,2,2,1,1
100_05,0,0,0,0,,100_05,43.1,6.6,41.0,1,0.79,0.08,0.63,,100_05,2,1,1,1
100_06,0,0,.,.,,100_06,41.8,7.7,39.8,1,0.12,0.03,0.63,,100_06,1,1,.,.
100_07,0,0,0,0,,100_07,50.2,1.0,48.1,1,78.06,0.16,0.72,,100_07,1,2,2,2
100_08,0,0,.,.,,100_08,50.9,2.3,48.5,1,16.02,0.03,0.66,,100_08,1,2,.,.
100_09,0,0,0,0,,100_09,50.6,1.2,48.7,1,112.16,0.14,0.75,,100_09,1,1,2,2
100_10,0,0,0,0,,100_10,49.7,0.9,47.9,1,98.29,0.35,0.72,,100_10,2,2,2,2
100_11,0,0,0,0,,100_11,48.1,1.8,46.3,1,97.21,0.41,0.72,,100_11,2,2,2,3
100_12,0,0,0,0,,100_12,46.5,3.4,44.6,1,84.73,0.60,0.68,,100_12,2,2,2,1
100_13,0,0,0,0,,100_13,44.6,5.1,42.8,1,102.46,0.27,0.73,,100_13,2,2,2,2
100_14,0,0,0,0,,100_14,43.5,6.6,41.8,1,72.91,0.28,0.70,,100_14,1,1,2,1
100_15,0,0,0,.,,100_15,43.1,7.5,41.4,1,27.27,0.41,0.63,,100_15,2,2,2,.
100_16,0,0,0,0,,100_16,50.6,1.2,48.7,1,112.19,0.14,0.75,,100_16,2,2,2,2
100_17,0,0,0,0,,100_17,52.5,2.9,50.5,1,105.82,0.16,0.75,,100_17,2,2,2,2
100_18,0,0,.,.,,100_18,53.8,4.2,51.9,1,116.54,0.21,0.76,,100_18,2,2,.,.
100_19,0,0,0,0,,100_19,55.2,5.7,53.3,1,60.16,0.21,0.70,,100_19,1,1,2,2
100_20,0,0,0,0,,100_20,41.8,8.9,40.1,1,42.14,0.56,0.64,,100_20,3,3,3,3
100_21,0,0,0,0,,100_21,40.1,10.3,38.3,1,101.15,0.80,0.68,,100_21,3,2,3,2
101_01,0,0,0,0,,101_01,39.9,9.5,38.0,1,0.01,0.09,0.63,,101_01,1,1,2,2
101_02,0,0,0,0,,101_02,38.3,11.2,36.4,1,1.50,0.23,0.62,,101_02,1,1,1,2
101_03,0,0,0,0,,101_03,36.9,12.8,35.0,1,26.79,0.24,0.65,,101_03,1,2,1,2
101_04,0,0,0,0,,101_04,35.4,14.4,33.6,1,73.12,0.24,0.71,,101_04,1,1,2,1
101_05,0,0,0,0,,101_05,33.7,16.3,31.9,1,88.45,0.20,0.74,,101_05,1,1,1,1
101_06,0,0,0,0,,101_06,31.9,18.1,30.2,1,95.36,0.16,0.75,,101_06,2,2,2,2
101_07,0,0,0,0,,101_07,30.1,20.0,28.6,1,96.23,0.05,0.75,,101_07,2,1,1,1
101_08,0,0,0,0,,101_08,38.4,12.0,36.6,1,107.10,0.52,0.71,,101_08,2,2,3,2
101_09,0,0,0,0,,101_09,36.5,13.7,34.8,1,114.47,0.33,0.74,,101_09,2,2,2,2
101_10,0,0,0,0,,101_10,34.9,15.5,33.2,1,107.87,0.17,0.75,,101_10,2,2,3,3
101_11,0,0,0,0,,101_11,33.1,17.2,31.5,1,114.93,0.08,0.75,,101_11,3,3,3,3
101_12,0,0,0,.,,101_12,31.6,18.7,30.1,1,112.87,0.09,0.76,,101_12,2,3,3,.
102_01,0,0,0,0,,102_01,22.5,27.1,20.7,0.5,0.02,0.20,0.63,,102_01,1,1,1,1
102_02,0,0,0,0,,102_02,21.8,27.7,19.9,0.5,0.29,0.20,0.62,,102_02,2,1,1,1
