HRS_ALL,,,,,,,,,,,,,HRS_PA,,,,,,,,,,,,,HRS_PAS,,,,,,,,,,,,,HRS_NAT,,,,,,,HRS_HUNT,,,,,,,,,,,,,TUS,,,,
Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,
Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4
63,2.5,3,1.8,2.2,,63,10,10,10,6,,,63,2.5,3,1.8,2.166666667,,63,10,10,10,6,,,155,1.9,1.3,1.142857143,NA,,155,10,10,7,NA,,,206,1.3,1.2,1.25,NA,,,63,2.5,3,1.8,2.166666667,,63,10,10,10,6,,,8_05,3,2,3,2
64,2.7,2.6,2.7,NA,,64,10,10,10,NA,,,64,2.7,2.6,2.7,NA,,64,10,10,10,NA,,,156,1.9,2.3,2.9,3,,156,10,10,10,2,,,207,1.5,1.9,2.428571429,NA,,,64,2.7,2.6,2.7,NA,,64,10,10,10,NA,,,8_06,2,2,3,3
66,2.6,2.5,2.5,NA,,66,10,10,2,NA,,,66,2.6,2.5,2.5,NA,,66,10,10,2,NA,,,157,1.5,1.6,1.6,1.666666667,,157,10,10,10,6,,,208,1.2,1,1,1,,,66,2.6,2.5,2.5,NA,,66,10,10,2,NA,,,8_07,2,2,2,3
74,2.3,2.1,2.1,NA,,74,10,10,10,NA,,,74,2.3,2.1,2.1,NA,,74,10,10,10,NA,,,158,1.8,1.3,1.2,1,,158,10,10,10,10,,,209,2.3,1.5,1.5,2.5,,,74,2.3,2.1,2.1,NA,,74,10,10,10,NA,,,8_08,3,2,2,3
75,2.1,2,2,2.5,,75,10,10,10,2,,,75,2.1,2,2,2.5,,75,10,10,10,2,,,171,2.8,3,NA,NA,,171,10,5,NA,NA,,,224,1.1,1.2,1.6,2,,,75,2.1,2,2,2.5,,75,10,10,10,2,,,8_09,3,2,2,2
76,2,3.6,3.1,2.2,,76,10,10,10,9,,,76,2,3.6,3.1,2.222222222,,76,10,10,10,9,,,173,3.7,2.6,1.4,1.777777778,,173,10,10,10,9,,,225,2,2.1,4.7,5,,,76,2,3.6,3.1,2.222222222,,76,10,10,10,9,,,8_10,2,2,2,2
77,2.1,2,2.1,2,,77,10,10,10,8,,,77,2.1,2,2.1,2,,77,10,10,10,8,,,174,2,1.9,1,1,,174,10,10,10,2,,,241,1.7,1.5,1.5,NA,,,77,2.1,2,2.1,2,,77,10,10,10,8,,,8_11,2,2,2,2
78,2.5,2.4,2.2,2,,78,10,10,10,10,,,78,2.5,2.4,2.2,2,,78,10,10,10,10,,,175,1,1,1.1,3.5,,175,10,10,10,6,,,242,1,1.7,1.2,1,,,78,2.5,2.4,2.2,2,,78,10,10,10,10,,,8_12,2,2,2,2
79,2.3,2.1,2.4,2.3,,79,10,10,10,10,,,79,2.3,2.1,2.4,2.3,,79,10,10,10,10,,,185,3,3,2.75,NA,,185,10,10,8,NA,,,,,,,,,,79,2.3,2.1,2.4,2.3,,79,10,10,10,10,,,9_01,3,3,2,2
80,1.8,1.5,2.7,2.9,,80,10,10,10,9,,,80,1.8,1.5,2.7,2.888888889,,80,10,10,10,9,,,186,2.7,2.6,2.7,3,,186,10,10,10,2,,,,,,,,,,80,1.8,1.5,2.7,2.888888889,,80,10,10,10,9,,,9_02,3,3,2,3
