Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
273_07,0,0,0,0,-0.46,-0.08,-1.53,-0.77,-1.63,-0.04,-0.84,1.73,-2.2,-1.26,-0.85
275_01,0,0,0,0,0.17,-1.64,-0.72,-1.01,-0.78,0.73,0.12,1.02,-0.69,-0.82,-0.74
275_02,0,0,0,0,-0.73,-1.6,-0.31,-0.85,-0.78,0.66,-0.32,1.11,-0.8,-0.77,-0.62
275_03,0,0,0,0,-0.55,-1.64,-0.49,-0.7,-0.78,0.73,0.37,1.06,-0.37,-0.78,-0.5
275_04,1,1,0,0,-0.71,-1.64,-0.83,-0.62,-0.83,0.73,1.03,1.06,-0.04,-0.85,-0.37
275_05,0,0,0,1,0.53,-1.06,-0.95,-0.62,-0.78,0.73,0.52,1.24,-0.37,-0.93,-0.26
275_06,1,1,0,0,0.91,-1.5,-1.18,-0.47,-0.83,0.73,1.03,1.24,-0.04,-1.02,-0.16
275_07,0,0,1,0,0.29,-1.6,-1.18,-0.08,-0.83,0.8,1.29,1.33,0.17,-1.1,-0.04
275_08,0,1,1,1,-0.75,-1.68,-0.83,0.38,-0.88,0.8,1.43,1.42,0.5,-1.17,0.09
276_01,0,1,0,1,0.82,-0.08,-1.24,-1.16,-0.78,0.8,1.25,0.62,-0.15,-1.16,-1.81
276_02,0,0,1,1,0.79,-1.35,-1.24,-1.24,-0.83,0.8,1.25,0.67,-0.15,-1.15,-1.68
276_03,0,1,0,0,-0.07,-1.24,-1.18,-1.16,-0.83,0.8,1.32,0.71,-0.04,-1.15,-1.56
276_04,0,0,0,0,0.36,-0.84,-1.18,-1.16,-0.83,0.8,1.32,0.75,-0.04,-1.14,-1.43
276_05,0,0,0,0,0.59,-1.39,-0.95,-1.24,-0.83,0.73,0.41,0.93,-0.58,-1.11,-1.3
276_06,0,0,0,0,0.12,-1.64,-0.89,-1.24,-0.83,0.73,0.55,0.93,-0.47,-1.05,-1.18
276_07,0,0,0,0,-0.67,-1.64,-0.78,-1.08,-0.83,0.73,1.03,0.93,-0.15,-0.99,-1.05
276_08,0,0,0,0,-0.08,-1.68,-1.12,-1.08,-0.88,0.8,1.36,0.84,-0.04,-0.92,-0.93
279_01,0,0,0,0,-0.82,-1.39,-1.47,-1.24,-1.31,0.73,1.07,0.89,-0.58,-1.24,-1.79
279_02,0,0,0,1,-0.64,-1.5,-0.66,-0.47,-0.67,0.8,1.21,0.62,0.28,-1.16,-1.67
279_03,1,1,1,0,-0.48,-1.57,-0.54,-0.47,-0.67,0.8,1.21,0.67,0.28,-1.08,-1.54
279_04,1,0,0,0,-0.74,-1.64,-0.78,-0.62,-0.73,0.8,1.25,0.62,0.17,-1,-1.42
279_05,0,1,1,1,-0.24,-1.68,1.01,0.07,-0.41,0.8,1.25,0.67,1.03,-0.93,-1.31
279_06,1,0,0,0,-0.89,-1.68,1.88,0.53,-0.67,0.8,1.69,0.89,1.57,-0.9,-1.2
279_07,0,0,.,.,-0.63,-1.64,1.71,0.38,-0.94,0.73,1.84,1.02,1.36,-0.92,-1.13
292_01,0,0,0,0,-0.58,-1.35,-2.85,-3.09,-3.01,-5.31,-0.98,-1.51,-5.65,-1.09,-0.25
292_03,0,0,0,0,-0.28,-1.5,-2.8,-3.09,-3.01,-5.59,-1.17,-1.51,-5.86,-1.08,-0.14
292_04,0,0,0,0,0.54,-1.13,-2.85,-3.24,-3.01,-5.52,-1.2,-1.51,-5.86,-1.14,-0.12
292_05,0,0,0,0,0.01,-0.51,-2.85,-3.32,-3.06,-5.66,-1.13,-1.51,-5.86,-1.13,-0.02
292_06,0,0,0,0,-0.27,-1.39,-2.85,-3.32,-3.06,-5.24,-0.65,-1.51,-5.43,-1.06,0.12
292_07,1,0,1,0,-0.78,-1.31,-2.85,-3.24,-3.06,-3.62,0.15,-1.51,-4.46,-1.06,0.22
292_08,0,0,1,0,-0.06,-1.1,-2.85,-3.24,-3.06,-3.83,0.3,-1.51,-4.46,-1.12,0.29
292_09,0,1,1,1,0.51,-1.42,-2.91,-3.01,-3.06,-3.83,0.04,-1.51,-4.57,-1.2,0.29
355_01,0,0,0,0,-0.25,1.16,-2.85,-3.09,-2.21,-5.8,-1.35,-1.51,-5.43,-0.99,-1.77
355_02,0,0,0,0,-0.74,-1.28,-2.85,-3.16,-2.58,-5.31,-0.98,-1.51,-5.32,-1.07,-1.63
355_03,0,1,0,0,-0.78,-0.55,-2.8,-3.24,-2.53,-6.08,-1.42,-1.51,-5.97,-1.15,-1.51
355_04,0,0,0,0,-0.15,0.25,-2.85,-3.24,-2.32,-5.8,-1.39,-1.51,-5.65,-1.23,-1.38
362_01,1,1,1,1,1.76,0.61,-2.22,-1.7,-0.62,-2.01,-1.35,1.86,-3.06,-1.28,-0.64
362_02,0,1,0,1,2.1,1.63,-2.33,-2.01,0.02,-0.54,-1.39,1.51,-2.41,-1.28,-0.78
362_03,0,0,1,1,2.76,1.41,-2.39,-2.01,0.07,-0.89,-1.39,1.42,-2.52,-1.28,-0.92
362_04,0,0,0,1,2.31,1.23,-2.33,-1.7,-0.3,-1.31,-1.31,1.51,-2.63,-1.28,-1.06
363_01,1,1,1,1,2.73,1.23,-0.89,0.53,1.29,0.66,-1.2,0.8,-0.15,-1.21,-0.67
363_02,0,0,0,0,3.13,1.38,-0.83,0.15,1.34,0.66,-1.24,0.71,-0.15,-1.12,-0.65
363_03,1,1,0,0,2.8,1.74,-0.89,-0.16,1.39,0.66,-1.31,0.71,-0.37,-1.06,-0.59
363_04,0,0,1,0,1.72,0.79,-0.66,-0.24,1.24,0.73,-1.13,0.8,-0.15,-1.03,-0.53
363_05,0,0,0,0,1.05,0.79,-0.72,-0.39,1.18,0.73,-1.06,0.8,-0.26,-0.99,-0.56
363_06,0,0,1,0,0.52,0.65,-0.72,-0.54,1.13,0.73,-0.91,0.89,-0.26,-1.02,-0.55
363_07,0,0,0,0,0.25,0.72,-0.66,-0.62,1.18,0.66,-1.06,0.89,-0.26,-1.1,-0.57
363_08,0,0,0,0,-0.65,-0.73,-0.26,-0.39,0.81,0.73,-0.25,1.06,0.17,-1.18,-0.66
363_10,0,0,0,0,-0.86,-0.95,0.55,-0.08,0.76,0.66,0.15,1.06,0.71,-1.17,-0.75
363_11,0,0,1,.,-0.36,-0.55,2,0.77,0.76,0.59,0.63,1.15,1.57,-1.12,-0.8
363_12,1,1,1,1,2.45,1.34,-0.31,0.3,1.39,0.73,-1.31,0.71,-0.04,-1.11,-0.72
363_13,1,1,1,1,1,0.29,-0.26,0.15,1.13,0.73,-0.84,0.8,0.06,-1.08,-0.83
363_14,1,1,1,1,0.35,-0.44,-0.31,0.07,1.02,0.73,-0.65,0.71,0.17,-1.01,-0.87
364_01,0,0,0,0,1.15,-0.01,-2.33,-2.62,-0.67,-0.82,-1.02,1.69,-2.63,-1.28,-0.87
364_02,0,0,0,0,0.35,0.83,-2.45,-2.62,-0.51,-1.45,-1.17,1.69,-2.85,-1.27,-0.75
364_03,0,0,0,0,0.16,1.52,-2.45,-2.62,-0.35,-1.59,-1.24,1.73,-2.95,-1.28,-0.65
364_04,0,0,0,0,-0.4,0.25,-2.33,-2.55,-0.41,-1.03,-1.17,1.77,-2.74,-1.28,-0.51
364_05,0,1,1,1,-0.96,-0.3,-2.16,-2.47,-0.62,-0.54,-1.06,1.86,-2.52,-1.28,-0.38
364_06,1,0,0,1,-0.91,-1.1,-2.16,-2.39,-0.94,-0.61,-0.73,1.95,-2.41,-1.27,-0.27
370_01,1,0,1,1,0.69,1.63,-2.39,-2.01,0.02,-2.01,-1.42,1.38,-2.85,-1.27,-1.26
370_02,0,1,1,0,-0.48,1.81,-2.16,-2.16,0.07,-4.04,-1.5,1.55,-3.6,-1.27,-1.4
370_03,1,0,1,1,-0.33,1.81,-2.28,-2.39,0.02,-3.55,-1.46,1.46,-3.49,-1.27,-1.54
370_04,1,1,1,1,-0.01,1.7,-2.28,-2.39,-0.25,-3.34,-1.42,1.46,-3.49,-1.27,-1.68
370_05,1,1,.,.,-0.86,1.41,-2.28,-2.32,-0.2,-1.87,-1.31,1.24,-2.85,-1.27,-1.79
370_06,1,0,0,0,0.3,1.34,-2.22,-2.24,0.12,-0.61,-1.39,1.02,-2.41,-1.24,-1.81
370_07,0,1,0,1,0.47,-0.04,-0.31,0,1.08,0.73,-0.76,0.44,0.06,-1.16,-1.69
370_08,1,1,1,1,-0.02,-0.73,-0.08,0,0.86,0.73,-0.25,0.53,0.28,-1.12,-1.59
370_09,1,0,1,0,-0.82,-0.44,-0.14,-0.16,0.92,0.66,-0.36,0.58,0.17,-1.09,-1.49
371_01,1,1,1,1,1.01,1.12,-0.49,-0.16,1.34,0.73,-1.24,0.49,-0.15,-0.93,-0.88
371_02,1,1,1,1,1.54,0.76,-0.49,-0.31,1.24,0.73,-1.13,0.53,-0.15,-0.85,-0.85
371_03,1,0,0,0,1.3,1.08,-0.83,-0.54,1.29,0.66,-1.17,0.44,-0.37,-0.8,-0.84
371_04,0,0,0,0,1.15,0.43,-0.72,-0.62,1.18,0.73,-0.98,0.53,-0.26,-0.78,-0.79
371_05,0,0,0,0,0.87,1.67,-1.01,-0.85,1.34,0.66,-1.28,0.44,-0.47,-0.76,-0.76
371_06,0,0,0,0,0.44,-0.19,-0.54,-0.7,0.97,0.73,-0.69,0.58,-0.15,-0.71,-0.73
371_07,0,0,0,0,-0.45,0.14,-0.54,-0.77,1.02,0.73,-0.76,0.58,-0.15,-0.7,-0.64
371_08,0,0,0,0,-0.79,-0.3,-0.26,-0.62,0.97,0.73,-0.65,0.67,-0.04,-0.69,-0.54
371_09,0,0,0,0,-0.44,0.65,-0.31,-0.7,1.24,0.73,-1.06,0.58,-0.15,-0.65,-0.48
371_10,0,0,0,.,-0.55,0.9,-0.08,-0.62,1.29,0.73,-1.17,0.53,-0.15,-0.6,-0.44
372_01,0,1,.,.,-0.39,0.98,-2.33,-2.47,-0.25,-1.1,-1.28,1.86,-2.74,-1.27,-0.16
372_02,1,1,1,1,-0.33,0.47,-2.39,-2.47,-0.41,-1.31,-1.2,1.91,-2.74,-1.27,-0.08
372_03,0,0,0,1,-0.63,-1.24,-2.22,-2.32,-0.99,-0.54,-0.69,2.04,-2.41,-1.27,0.04
372_04,1,1,1,1,-0.71,-1.13,-2.22,-2.24,-1.04,-0.82,-0.62,2.13,-2.52,-1.27,0.15
372_05,1,1,0,0,-0.5,-1.2,-1.99,-2.01,-0.94,-0.54,-0.65,2.13,-2.31,-1.27,0.27
372_06,0,.,.,.,-0.66,-1.57,-1.53,-1.7,-1.04,-0.32,-0.36,2.17,-1.88,-1.27,0.35
372_07,0,0,0,1,-0.96,-1.53,0.96,1,0.76,0.73,0.15,1.6,1.03,-1.23,0.42
372_08,1,1,1,1,-1.02,-0.91,0.73,0.69,0.86,0.73,-0.07,1.6,0.82,-1.18,0.51
372_09,1,1,.,.,-1.03,-0.51,0.73,0.61,0.92,0.73,-0.29,1.6,0.71,-1.16,0.56
372_10,1,1,1,0,-0.93,-1.31,1.01,0.61,0.86,0.73,-0.1,1.55,0.93,-1.11,0.57
372_11,1,1,0,.,-1,-1.46,0.9,0.46,0.81,0.73,0.01,1.6,0.82,-1.07,0.61
373_01,1,1,1,1,1.06,0.21,-2.05,-2.08,-0.35,0.03,-1.17,2.13,-2.2,-1.27,0.66
373_02,0,0,1,0,1.91,-0.48,-1.99,-2.16,-0.41,0.24,-1.13,2.17,-2.2,-1.27,0.79
373_03,1,0,1,1,1.55,0.18,-2.16,-2.39,-0.73,0.03,-0.95,2.26,-2.31,-1.27,0.91
373_04,1,1,1,0,0.23,-0.19,-2.16,-2.39,-0.83,-0.11,-0.84,2.31,-2.31,-1.27,1.04
373_05,0,0,1,1,-0.74,-0.59,-2.28,-2.39,-0.88,-0.75,-0.8,2.35,-2.52,-1.27,1.16
373_06,1,1,1,1,0.07,-0.44,-2.33,-2.39,-0.94,-0.89,-0.76,2.39,-2.63,-1.28,1.29
373_07,1,1,.,.,0.65,-0.73,-0.95,-0.7,0.33,0.66,-0.21,2.04,-0.37,-1.26,1.34
378_01,0,1,1,0,-0.85,-0.51,-0.14,-0.08,0.92,0.73,-0.4,0.58,0.28,-1.05,-1.36
378_02,0,0,0,0,-1.01,-1.5,0.15,0.07,0.76,0.73,-0.03,0.62,0.5,-0.99,-1.22
378_03,0,0,0,0,-0.83,-1.02,-0.02,0,0.86,0.73,-0.32,0.62,0.28,-0.94,-1.09
378_04,0,0,0,0,-0.56,-0.04,-0.2,-0.08,1.08,0.73,-0.8,0.62,0.06,-0.92,-0.97
378_05,0,1,.,.,-0.44,0.98,-0.49,-0.16,1.29,0.66,-1.13,0.58,-0.15,-0.91,-0.88
378_06,0,0,1,1,-0.58,0.9,-0.26,-0.08,1.24,0.66,-1.06,0.62,-0.04,-0.89,-0.78
378_07,1,0,.,.,-0.94,0.03,0.32,0.15,1.13,0.73,-0.8,0.71,0.28,-0.86,-0.68
378_08,1,1,1,1,-0.44,-0.01,0.09,0,1.13,0.73,-0.87,0.71,0.17,-0.83,-0.59
378_09,1,1,1,1,-0.01,-0.7,-0.02,-0.16,1.02,0.73,-0.65,0.75,0.17,-0.79,-0.46
379_01,0,0,0,1,-1,0.25,0.26,-0.47,1.24,0.73,-1.02,0.58,0.06,-0.54,-0.36
380_01,1,0,0,0,-0.82,-0.41,0.09,-0.54,1.08,0.73,-0.76,0.71,0.06,-0.54,-0.22
380_02,0,0,.,.,-0.04,-0.91,-0.02,-0.54,1.02,0.73,-0.62,0.75,0.06,-0.56,-0.12
380_03,0,0,0,0,0.3,-1.06,0.09,-0.47,0.97,0.8,-0.54,0.84,0.17,-0.61,-0.03
380_04,0,0,0,1,-0.69,-0.99,0.26,-0.31,1.02,0.8,-0.65,0.93,0.28,-0.65,0.1
380_05,0,0,0,0,-0.86,-0.44,-0.08,-0.47,1.02,0.73,-0.65,1.06,0.06,-0.69,0.24
380_06,0,0,0,0,-0.04,0.32,-0.02,-0.39,1.24,0.8,-1.02,1.02,-0.04,-0.69,0.36
380_07,0,0,0,0,0.69,0.25,-0.26,-0.54,1.18,0.73,-0.98,1.06,-0.04,-0.66,0.48
380_08,0,0,1,0,-0.4,-0.3,-0.08,-0.54,1.02,0.73,-0.69,1.15,0.06,-0.63,0.6
380_09,0,0,0,0,-0.13,-0.44,-0.02,-0.54,1.13,0.73,-0.84,1.15,0.06,-0.61,0.72
380_10,0,0,1,1,-0.03,-0.59,0.03,-0.62,1.02,0.73,-0.62,1.29,0.06,-0.59,0.85
380_11,0,0,.,.,-0.26,0.1,0.09,-0.62,1.08,0.73,-0.76,1.29,0.06,-0.58,0.95
380_12,0,1,1,0,-0.97,-0.84,0.73,-0.31,0.92,0.73,-0.29,1.42,0.5,-0.66,0.88
380_13,1,0,0,0,-0.96,-0.48,0.61,-0.31,0.97,0.73,-0.43,1.38,0.39,-0.71,0.82
380_14,1,1,1,0,-0.82,1.12,0.15,-0.47,1.24,0.66,-0.98,1.29,0.06,-0.77,0.76
380_15,0,0,0,0,-0.94,0.5,0.32,-0.31,1.24,0.73,-0.95,1.38,0.17,-0.83,0.73
381_01,1,1,0,1,1.22,-0.48,-2.16,-2.39,-0.94,-1.17,-1.13,2.44,-2.95,-1.27,1.43
381_02,1,1,1,1,0.57,-0.59,-2.1,-2.39,-0.94,-1.03,-1.09,2.44,-2.85,-1.27,1.31
381_03,1,1,1,1,-0.58,-0.26,-2.16,-2.39,-0.67,-0.25,-0.98,2.31,-2.41,-1.27,1.19
381_04,0,0,0,0,-0.25,-0.55,0.44,-0.47,1.02,0.73,-0.51,1.38,0.28,-0.56,1.04
381_05,0,0,.,.,-0.52,-0.77,0.67,-0.39,0.86,0.73,-0.21,1.42,0.5,-0.56,1.14
381_06,1,0,0,0,-0.97,-0.48,0.73,-0.39,1.08,0.73,-0.58,1.46,0.39,-0.59,1.21
381_07,0,0,0,0,-0.92,-0.95,0.96,-0.24,0.97,0.73,-0.4,1.42,0.6,-0.6,1.12
381_08,0,0,1,1,-0.89,-0.48,0.84,-0.24,1.02,0.73,-0.43,1.42,0.5,-0.6,1.03
381_09,1,1,.,.,-1,-0.95,0.84,-0.24,0.92,0.73,-0.25,1.38,0.6,-0.63,0.96
381_10,1,1,0,0,0.8,-0.51,-0.6,-0.39,0.65,0.73,-0.4,2.04,-0.15,-1.24,1.46
381_11,0,0,1,0,0.28,-1.24,0.09,0.07,0.86,0.8,-0.29,1.91,0.39,-1.17,1.44
381_12,0,0,.,.,0.8,-0.95,-0.02,0,0.92,0.73,-0.43,1.86,0.28,-1.14,1.38
381_13,0,1,.,.,0.35,-1.13,0.09,0,0.81,0.73,-0.14,1.91,0.39,-1.13,1.42
