Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
205_01,1,0,0,0,-0.29,0.98,-0.14,0.15,-0.04,0.31,-0.4,-0.97,-0.04,0.65,-0.34
205_02,0,0,0,0,0.06,-0.01,0.44,0.38,0.55,-0.68,-0.58,-0.97,0.06,0.72,-0.45
205_03,0,0,0,0,0.91,0.03,0.49,0.46,0.55,-0.32,-0.54,-1.02,0.17,0.81,-0.58
205_04,0,0,0,0,1.18,0.47,0.67,0.53,0.76,-0.11,-0.87,-1.11,0.17,0.89,-0.7
205_05,0,1,1,1,0.91,1.52,0.15,0.23,1.02,-0.75,-1.2,-1.15,-0.26,0.94,-0.78
205_06,1,1,1,1,-0.17,1.81,0.49,0.38,1.08,-1.24,-1.2,-1.15,-0.26,0.98,-0.81
205_07,1,1,1,1,-0.93,1.74,0.96,0.53,1.13,-1.1,-1.2,-1.15,-0.04,1.03,-0.85
205_08,1,1,1,1,-1.03,1.41,1.01,0.53,1.08,-0.61,-1.17,-1.19,0.17,1.1,-0.91
206_01,0,0,0,0,-0.28,0.1,1.3,0.84,-0.78,0.45,0.92,-0.84,0.93,0.38,-0.68
206_02,0,1,1,1,0.14,0.94,0.55,0.53,-0.09,0.59,-0.47,-0.93,0.28,0.46,-0.56
206_03,1,0,0,0,0.06,1.38,-0.02,0.23,-0.04,0.59,-0.62,-0.97,-0.04,0.53,-0.44
206_04,0,0,.,.,-0.01,1.45,-0.31,0.07,-0.09,0.52,-0.65,-0.97,-0.26,0.59,-0.36
206_05,1,0,0,0,-0.28,0.1,1.3,0.84,-0.78,0.45,0.92,-0.84,0.93,0.38,-0.68
206_06,0,1,1,1,0.14,0.94,0.55,0.53,-0.09,0.59,-0.47,-0.93,0.28,0.46,-0.56
206_07,1,0,0,0,0.06,1.38,-0.02,0.23,-0.04,0.59,-0.62,-0.97,-0.04,0.53,-0.44
206_08,0,1,.,.,-0.01,1.45,-0.31,0.07,-0.09,0.52,-0.65,-0.97,-0.26,0.59,-0.36
207_01,0,1,1,1,-0.44,0.32,0.15,0.23,-0.51,0.38,0.12,-0.97,0.17,0.62,-0.65
207_02,1,0,.,.,-0.93,0.32,0.61,0.46,-0.51,0.38,0.23,-0.97,0.39,0.59,-0.71
207_03,1,1,1,1,-0.89,0.43,0.96,0.61,-0.35,0.45,0.08,-0.97,0.6,0.58,-0.73
207_04,1,1,1,1,-0.92,0.54,1.13,0.69,-0.46,0.38,0.3,-0.97,0.6,0.61,-0.71
207_05,1,1,.,.,-0.95,0.18,1.24,0.77,-0.51,0.52,0.41,-0.97,0.82,0.62,-0.7
207_06,1,1,0,0,-0.22,1.34,-0.14,0.15,-0.2,0.38,-0.43,-1.02,-0.15,0.51,-0.82
207_07,1,1,1,1,0.39,-0.73,-0.26,0.15,-1.04,0.52,0.85,-0.97,0.17,0.45,-0.9
207_08,1,1,1,1,0.72,-0.51,-0.54,0.07,-1.04,0.52,0.74,-0.97,0.06,0.4,-0.94
208_01,1,1,1,1,-0.97,-1.42,2.05,1.54,-1.52,-0.11,1.84,-0.13,1.47,-0.27,-0.4
208_02,1,1,1,1,-0.98,-1.35,2,1.46,-1.52,-0.11,1.84,-0.13,1.36,-0.21,-0.29
208_03,1,1,1,1,-1.01,-1.35,2,1.46,-1.52,-0.18,1.84,-0.18,1.36,-0.14,-0.35
208_04,1,0,0,0,-0.95,-1.28,2.05,1.46,-1.52,-0.18,1.84,-0.26,1.36,-0.07,-0.49
208_05,0,0,0,1,-0.84,-1.5,2.05,1.46,-1.52,-0.18,1.84,-0.4,1.36,0.01,-0.63
208_06,1,1,0,0,-0.68,-1.28,2.05,1.54,-1.42,0.03,1.76,-0.53,1.47,0.08,-0.75
208_07,0,1,1,1,-0.86,-1.17,2.11,1.54,-1.31,0.17,1.69,-0.62,1.47,0.11,-0.88
208_08,1,1,1,1,-0.96,-0.77,2.11,1.54,-1.42,-0.11,1.76,-0.57,1.47,0.06,-1.01
208_09,1,1,.,.,-1.02,-0.99,2.11,1.54,-1.42,-0.18,1.76,-0.57,1.47,0.01,-1.09
209_01,0,0,0,0,-0.9,-0.48,2.28,1.92,-1.52,-0.11,1.87,-0.09,1.57,-0.47,-0.9
209_02,0,0,1,0,-0.93,-1.28,2.17,1.77,-1.57,-0.25,1.87,-0.09,1.47,-0.45,-0.79
209_03,1,0,0,1,-0.87,-1.17,2.11,1.69,-1.52,-0.04,1.84,-0.13,1.47,-0.41,-0.69
209_04,1,1,1,1,-0.82,-0.51,1.48,1.23,-1.36,0.24,1.65,-0.35,1.25,-0.35,-0.66
209_05,1,1,1,1,0.07,0.25,-0.31,0.46,-1.26,0.52,1.1,-0.53,0.28,-0.31,-0.74
209_06,1,1,1,0,1.31,0.9,-0.49,0.38,-1.31,0.52,1.14,-0.62,0.28,-0.29,-0.85
209_07,0,1,1,1,1.93,0.98,-0.31,0.46,-1.31,0.59,1.18,-0.66,0.39,-0.26,-0.94
209_08,1,0,1,1,2.02,0.14,-0.37,0.46,-1.1,0.59,0.88,-0.66,0.28,-0.22,-0.86
210_01,1,1,1,1,-0.58,-1.13,-0.43,-0.54,-0.73,0.8,0.99,1.42,0.17,-1.26,-0.36
210_02,1,1,1,0,0.08,0.21,-1.99,-2.01,-1.79,0.66,0.48,1.77,-1.55,-1.26,-0.4
210_03,0,0,1,1,-0.37,-0.19,-2.62,-2.85,-2.53,0.17,0.41,1.95,-2.63,-1.27,-0.44
210_04,0,0,0,0,-0.93,-0.37,-2.8,-3.16,-2.85,-1.1,0.23,2.13,-3.49,-1.27,-0.49
210_05,0,0,0,0,-0.59,-1.1,-1.76,-1.47,-1.42,0.73,0.92,1.46,-0.8,-1.25,-0.57
210_06,0,0,0,0,-0.42,-1.39,-0.66,-0.39,-0.62,0.8,1.18,1.11,0.28,-1.17,-0.7
210_07,0,0,0,1,0.23,-1.28,-0.72,-0.47,-0.67,0.8,1.18,1.06,0.28,-1.17,-0.71
210_08,1,1,1,0,1.37,-0.48,-1.76,-1.24,-0.78,0.73,0.41,1.29,-0.8,-1.25,-0.6
224_01,0,0,1,1,-0.96,-0.55,2.46,1.84,-1.04,-0.11,1.65,-0.62,1.68,-0.04,-1.36
224_02,1,0,1,1,-0.82,-0.48,2.05,1.46,-1.2,-0.04,1.65,-0.66,1.47,0.01,-1.23
224_03,1,1,1,1,-0.68,0.36,1.42,1,-0.94,0.03,1.14,-0.75,1.03,0.07,-1.09
224_04,1,1,1,1,-0.48,-0.44,1.24,0.84,-1.31,0.03,1.54,-0.71,0.93,0.14,-0.98
224_05,1,1,1,1,-0.1,-1.06,1.24,0.77,-1.31,0.1,1.51,-0.75,0.93,0.22,-0.88
